DishName,Description,Region,MainIngredient,Ingredients,StateOfMainIngredient,DietType,MealEatenAtPartOfDay,Variations,FlavorProfiles,PreparationMethod,PreparationTimeMinutes,MeatCut
Schweizer Wurstsalat,Sliced sausage salad with vinegar and oil dressing.,"Switzerland, Bavaria, Baden-Württemberg",Sausage,"sausage, onion, vinegar, oil, pickles, cheese, paprika, chives, mustard",sliced,"omnivore, halal, kosher","lunch, anytime","with cheese, with pickles, with bell peppers","sour, savory, aromatic, tangy, umami",boiled,15,
Schwenkbraten aus dem Saarland,"Slow-roasted pork shoulder, cooked over an open fire.","Saarland, Rhineland-Palatinate, France",Pork Shoulder,"pork shoulder, salt, pepper, caraway, marjoram, onions, garlic, broth",roasted,omnivore,dinner,"different herbs, different types of wood for smoking","smoky, savory, aromatic, buttery",roasting,90,pork shoulder
Seezunge Muellerin Art,Pan-fried turbot fillet served with a lemon-caper sauce.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Turbot,"turbot fillet, butter, lemon, capers, white wine, parsley, flour, salt, pepper",pan-fried,"omnivore, halal, kosher","lunch, dinner","baked turbot, turbot with different sauces","savory, buttery, tangy, aromatic",pan-frying,25,
Sellerie-Stampf mit Radieschen,"Mashed celery with radishes, often served as a side dish.","North Rhine-Westphalia, Netherlands, Austria",Celery,"celery, radishes, vegetable broth, lemon juice, oil, salt, pepper",mashed,"vegetarian, vegan, omnivore",anytime,"with apples, with potatoes, with herbs","earthy, mild, savory, tangy",boiling,15,
Selterwasserkuchen DDR Rezept,Light sponge cake with a bubbly texture.,"Brandenburg, Saxony, Thuringia, Poland",Flour,"flour, sugar, eggs, oil, water, baking powder, vanilla",raw,"vegetarian, omnivore",anytime,"different flavorings, fruit additions","sweet, creamy, buttery",baking,35,
Semmelknoedel,"Bread dumpling made with leftover bread, milk, and herbs.","Bavaria, Austria, Salzburg",Bread,"bread, milk, onion, marjoram, parsley, egg, flour, salt, pepper",boiled,"vegetarian, omnivore","lunch, dinner","herbed, cheese-filled, with gravy","savory, buttery, aromatic, mild, creamy",boiled,30,
Semmelknoedel aus dem Dampfgarer,"Steamed bread dumplings, often served with gravy.","Bavaria, Austria, Salzburg",Bread,"bread, milk, eggs, onion, marjoram, parsley, salt, pepper, chives",boiled,"vegetarian, omnivore","lunch, dinner","with cheese, with bacon, with spinach","savory, creamy, buttery, aromatic",steaming,25,
Senfeier,Boiled eggs in a mustard and vinegar dressing.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Egg,"egg, mustard, vinegar, oil, chives, salt, pepper",boiled,"vegetarian, omnivore, halal, kosher","lunch, anytime","different types of mustard, addition of herbs","sour, savory, tangy, aromatic",boiling,10,
Servietten Knoedel nach Omas Rezept,"Bread dumplings made with herbs and cheese, often served with gravy.","Bavaria, Austria, Tyrol",Bread,"bread, milk, eggs, flour, parsley, chives, onion, salt, pepper, cheese",boiled,"vegetarian, omnivore","lunch, dinner","with spinach, with bacon, with cheese","savory, cheesy, aromatic, buttery",boiling,30,
Solei,A creamy and comforting potato dish with bacon and onions.,"Bavaria, Austria, Switzerland",Potato,"potato, bacon, onion, cream, nutmeg, salt, pepper",mashed,"omnivore, vegetarian","lunch, dinner","without bacon, with chives, with cheese","savory, creamy, buttery, nutty","boiling, mashing, frying",25,
Sonntagssuppe,"A hearty broth, often served as a comforting starter.","Bavaria, Austria, Switzerland",Beef,"beef broth, carrots, celery, leeks, potatoes, parsley, bay leaf, peppercorns, salt",boiled,"omnivore, halal, kosher","lunch, dinner","vegetable soup, chicken soup","savory, umami, aromatic, mild, earthy",simmering,30,
Spaetzlepfanne mit Kraeuter-Pilzragout,Pan-fried egg noodles with a creamy mushroom and herb sauce.,"Baden-Wurttemberg, Bavaria, Austria",Spaetzle,"egg, flour, milk, mushrooms, butter, herbs, onion, garlic, cream, salt, pepper",fried,"vegetarian, omnivore","lunch, dinner","with cheese, with bacon, with sausage","savory, creamy, buttery, aromatic, umami",frying,20,
Spaetzlepfanne mit Pilzen & Cranberries,Pan-fried noodles with mushrooms and cranberries.,"Swabia, Bavaria, Austria",Spaetzle,"spaetzle, mushrooms, cranberries, onion, butter, cream, parsley, thyme, salt, pepper",boiled,"vegetarian, omnivore","lunch, dinner","with cheese, with bacon, with sausage","savory, creamy, fruity, buttery, earthy",frying,20,
Spaetzlepfanne mit Sauerkraut und Paprika,Pan-fried egg noodles with sauerkraut and bell peppers,"Bavaria, Baden-Württemberg, Austria",Spaetzle,"spaetzle, sauerkraut, bell peppers, onion, oil, salt, pepper, paprika",pan-fried,"vegetarian, omnivore","lunch, dinner","with cheese, with bacon, with mushrooms","savory, tangy, aromatic",frying,20,
Spanferkelbraten,"Roasted whole pig, often served with potatoes and a rich gravy.","Bavaria, Austria, Switzerland",Pig,"pig, potatoes, onions, garlic, herbs, salt, pepper, paprika, caraway, marjoram",roasted,omnivore,dinner,"Spanferkel with sauerkraut, Spanferkel with dumplings","savory, smoky, aromatic, buttery",roasting,180,
Spargel Pfannkuchen,Pancakes featuring asparagus as a key ingredient.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Asparagus,"asparagus, flour, eggs, milk, butter, salt, pepper, herbs",boiled,"vegetarian, omnivore","lunch, dinner","sweet, savory","savory, creamy, buttery, mild, aromatic",frying,20,
Spargel mit Orangen-Hollandaise,Asparagus served with an orange-infused hollandaise sauce.,"North Rhine-Westphalia, Baden-Württemberg, Netherlands",Asparagus,"asparagus, eggs, butter, orange, lemon, salt, pepper, chives",boiled,"vegetarian, omnivore","lunch, dinner","with lemon hollandaise, with champagne hollandaise","creamy, buttery, fruity, tangy, savory, aromatic",covered in sauce,15,
Spargel mit Sauce Hollandaise,Asparagus served with creamy hollandaise sauce.,"North Rhine-Westphalia, Baden-Württemberg, Netherlands, Austria",Asparagus,"asparagus, egg yolks, butter, lemon juice, salt, pepper, water",boiled,"vegetarian, omnivore","lunch, dinner","with vinegar, with potatoes, with ham","buttery, creamy, savory, mild, tangy",boiled,20,
Spargel mit Sauce Hollandaise und Prosciutto,Asparagus served with Hollandaise sauce and prosciutto,"Bavaria, Baden-Württemberg, Austria, Switzerland",Asparagus,"asparagus, prosciutto, egg yolks, butter, lemon juice, salt, pepper",boiled,"omnivore, vegetarian","lunch, dinner","with cheese, with potatoes, without prosciutto","savory, buttery, creamy, mild, aromatic",boiled,15,Prosciutto
Spargelcremesuppe,Creamy soup made with asparagus.,"Bavaria, Baden-Württemberg, Austria",Asparagus,"asparagus, potatoes, onion, vegetable broth, cream, butter, salt, pepper, chives",boiled,"vegetarian, vegan, omnivore","lunch, dinner","with truffle oil, with lemon, with white asparagus","creamy, buttery, mild, savory, aromatic",boiling,20,
Spargelplatte mit Roastbeef und Remoulade,"A platter featuring asparagus, roast beef, and remoulade sauce.","North Rhine-Westphalia, Lower Saxony, Netherlands",Asparagus,"asparagus, roast beef, remoulade, mayonnaise, pickles, capers, herbs, spices",boiled,"omnivore, vegetarian","lunch, dinner","with different types of roast beef, with hollandaise sauce","savory, creamy, tangy, buttery, aromatic",boiling,20,roast beef
Spargelsuppe aus Spargelschalen,Creamy soup made from asparagus stalks.,"Bavaria, Baden-Württemberg, Austria",Asparagus,"asparagus stalks, potatoes, onions, vegetable broth, cream, salt, pepper, nutmeg",boiled,"vegetarian, vegan, omnivore","lunch, dinner","with asparagus tips, with herbs","creamy, savory, earthy, aromatic, mild",boiling,20,
Spargelsuppe mit Ei,Creamy asparagus soup with a poached egg.,"Bavaria, Austria, Switzerland",Asparagus,"asparagus, vegetable broth, onion, leek, cream, egg, chives, salt, pepper",boiled,"vegetarian, omnivore","lunch, dinner","with croutons, with herbs, with bacon","savory, creamy, mild, aromatic",boiling,15,
Spargelsuppe mit gebratenem gruenen Spargel,Creamy soup with asparagus and fried asparagus tips.,"Bavaria, Baden-Württemberg, Austria",Asparagus,"asparagus, potatoes, onion, vegetable broth, cream, white wine, butter, salt, pepper, parsley","boiled, fried","vegetarian, vegan, omnivore","lunch, dinner","with croutons, with hollandaise sauce, blended smooth","savory, creamy, mild, earthy, buttery","boiling, frying",20,
Speckknoedel,Bread dumplings with bacon pieces.,"Bavaria, Austria, Tyrol",Bread,"bread crumbs, flour, milk, eggs, bacon, onion, parsley, salt, pepper",boiled,"omnivore, vegetarian","lunch, dinner","with cheese, without bacon","savory, smoky, buttery, aromatic",boiling,30,bacon
Speckkuchen DDR Rezept,Savory flatbread with bacon and cheese.,"Brandenburg, Berlin, Saxony, Poland",Bacon,"bacon, flour, eggs, milk, yeast, cheese, onion, salt, pepper",cooked,omnivore,"breakfast,anytime","with potatoes, with leek, with mushrooms","savory, smoky, cheesy, buttery, mild",frying,35,
Specksauce,"Creamy sauce with smoky bacon flavor, often served with dumplings or potatoes.","Bavaria, Austria, Switzerland",Bacon,"bacon, onion, cream, broth, nutmeg, black pepper, marjoram",sliced,omnivore,"lunch, dinner","with mushrooms, with potatoes, with dumplings","savory, smoky, creamy, buttery, aromatic",frying,20,
Spiessbraten,"Slow-roasted beef dish, often served with potatoes and gravy.","Baden-Wurttemberg, Switzerland, Austria",Beef,"beef, onions, carrots, celery, red wine, beef broth, bay leaf, peppercorns, salt, flour",sliced,omnivore,"lunch, dinner","with different sauces, with different vegetables","savory, aromatic, buttery, mild",braising,180,beef chuck
Spiessbraten mit Kartoffelsalat,Roasted beef served with potato salad.,"Baden-Württemberg, Bavaria, Austria",Beef,"beef, potatoes, onions, vinegar, mustard, broth, bacon, pickles, oil, salt, pepper",roasted,omnivore,"lunch, dinner","with different sauces, with different potato salads","savory, aromatic, buttery, tangy",roasting,60,rump steak
Spinat mit Spiegelei und Salzkartoffeln,Sautéed spinach served with a fried egg and salted potatoes.,"Bavaria, Austria, Switzerland",Spinach,"spinach, eggs, potatoes, salt, pepper, butter",sautéed,"vegetarian, omnivore","lunch, dinner","poached egg, different potato varieties","savory, buttery, mild, earthy",sautéing,15,
Spinat-Kaese-Spaetzle,Soft egg noodles with spinach and cheese.,"Bavaria, Baden-Württemberg, Austria",Spaetzle,"spaetzle, spinach, cheese, milk, butter, nutmeg, flour, eggs",boiled,"vegetarian, omnivore","lunch, dinner","with bacon, with mushrooms, with different cheeses","savory, cheesy, creamy, buttery, mild",boiled,20,
Spinatauflauf,Spinach bake with cheese and creamy sauce.,"Bavaria, Austria, Switzerland",Spinach,"spinach, eggs, cheese, cream, onion, nutmeg, butter, flour",cooked,"vegetarian, omnivore","lunch, dinner","with potatoes, with mushrooms, with bacon","savory, creamy, cheesy, aromatic, mild",baked,45,
Spinatknoedel mit Parmesan,Spinach dumplings served with parmesan cheese.,"Bavaria, Austria, Switzerland",Spinach,"spinach, flour, eggs, breadcrumbs, parmesan, butter, nutmeg, salt, pepper",boiled,"vegetarian, omnivore","lunch, dinner","with cheese filling, browned in butter, served with brown sauce","savory, cheesy, creamy, aromatic, earthy, nutty",boiled,25,
Spitzkohl-Rouladen auf mediterrane Art,"Beef rolls filled with cabbage and Mediterranean vegetables, simmered in a flavorful sauce.","Bavaria, Austria, Switzerland",Beef,"beef, cabbage, onion, bell pepper, tomato, garlic, herbs, wine, olive oil",cooked,omnivore,dinner,"with different vegetables, with different sauces","savory, aromatic, tangy, buttery",simmering,45,beef
Splitterbroetchen DDR Rezept,"Flaky, buttery pastries often filled with jam or chocolate.","Poland, Austria, Czechia, Slovakia",Dough,"Flour, butter, sugar, yeast, milk, vanilla, jam, chocolate",baked,"vegetarian, omnivore","breakfast, anytime","filled with poppy seeds, quark, or fruit compote","buttery, creamy, sweet, aromatic",baked,15,
Spundekaese Rezept,"A warm, cheesy dish served with potatoes and often bacon.","Bavaria, Austria, Switzerland",Cheese,"cheese, potatoes, bacon, onion, cream, nutmeg, black pepper, parsley",melted,"vegetarian, omnivore","lunch, dinner","with chives, without bacon, with different cheeses","cheesy, creamy, savory, nutty, aromatic, buttery",melted,25,
Steckrueben-Eintopf mit Wiener Wuerstchen,Hearty stew with turnips and sausages.,"Bavaria, Austria, Switzerland",Turnip,"turnip, sausages, potatoes, carrots, celery, onion, broth, bay leaf, peppercorns, salt",boiled,"omnivore, vegetarian","lunch, dinner","with different sausages, with bacon, with dumplings","savory, earthy, mild, aromatic",boiling,45,sausage
Steckruebeneintopf,Hearty root vegetable stew.,"Bavaria, Austria, Switzerland",Rutabaga,"rutabaga, potatoes, carrots, onions, celery, vegetable broth, bay leaf, thyme, salt, pepper",boiled,"vegetarian, vegan, omnivore","lunch, dinner","with smoked sausage, with bacon","savory, earthy, aromatic, mild",boiling,45,
Steckruebeneintopf mit Hackbaellchen,Root vegetable stew with meatballs.,"Northern, Eastern",Turnip,"turnip, beef, carrots, celery, onions, beef broth, bay leaf, thyme, flour, eggs, breadcrumbs, salt, pepper",boiled,"omnivore, anytime","lunch, dinner","with potatoes, with different root vegetables","savory, earthy, aromatic, mild",simmering,45,ground beef
Stielmus,A hearty stew made with veal shank and vegetables.,"Bavaria, Austria, Switzerland",Veal Shank,"veal shank, carrots, celery, onion, broth, red wine, bay leaf, thyme, marjoram, flour",braised,omnivore,dinner,"with mushrooms, with dumplings","savory, umami, aromatic, buttery",braising,180,
Stollen (Gebaeck),"A dense, fruit-filled bread often enjoyed during the Christmas season.","Saxony, Thuringia, Brandenburg, Poland",Dried Fruit,"dried fruit, marzipan, flour, yeast, butter, sugar, lemon zest, rum, spices",dried,"vegetarian, kosher",anytime,"marzipan stollen, chocolate stollen, gluten-free stollen","sweet, fruity, buttery, aromatic, nutty",baked,120,
Stopsel,A creamy soup with bread dumplings.,"Bavaria, Austria, Salzburg",Bread Dumplings,"bread dumplings, potatoes, leek, celery, broth, cream, parsley, salt, pepper",boiled,"vegetarian, omnivore","lunch, dinner","with sausage, without leek","creamy, savory, buttery, mild",simmering,25,
Strammer Max,Open-faced sandwich with fried egg and ham,"Austria, Bavaria, Switzerland",Egg,"bread, egg, ham, cheese, mustard, butter",fried,"omnivore, vegetarian","breakfast, anytime","with bacon, with sausage, with vegetables","savory, buttery, mild",frying,10,
Streuselkuchen,"A crumbly, buttery cake with a topping of streusel.","Bavaria, Baden-Württemberg, Austria, Switzerland",Dough,"flour, sugar, butter, yeast, milk, lemon zest",baked,"vegetarian, omnivore",anytime,"fruit-filled, apple, cherry, plum","sweet, buttery, nutty, creamy",baked,45,
Streuseltaler,Baked fruit dessert with a crumbly streusel topping.,"Bavaria, Austria, Switzerland",Apples,"apples, flour, sugar, butter, cinnamon, lemon juice",sliced,"vegetarian, kosher",anytime,"plum, cherry, raspberry","sweet, buttery, fruity, aromatic",baked,45,
Striezel,"A sweet, yeasted bread often decorated with icing and marzipan.","Saxony, Bohemia, Silesia",Dough,"flour, yeast, sugar, milk, butter, eggs, marzipan, powdered sugar, lemon zest",baked,"vegetarian, omnivore",anytime,"chocolate, poppy seed, almond","sweet, buttery, aromatic",baked,45,
Stutenkerl,"A traditional pastry made from yeast dough, filled with a sweet filling.","Bavaria, Austria, Salzburg",Dough,"flour, yeast, milk, butter, sugar, raisins, cinnamon, lemon zest, rum",baked,"vegetarian, omnivore",anytime,"filled with different fruits, filled with poppy seeds","sweet, fruity, buttery, aromatic",baked,45,
Sucuk,"Spiced, dried sausage, often served grilled or fried.","Bavaria, Austria, Hungary, Romania",Ground Beef,"ground beef, paprika, garlic, cumin, salt, red pepper flakes, beef fat",sliced,"omnivore, halal",anytime,"spicy, mild, smoked","spicy, savory, smoky, aromatic",frying,10,
Suelzkotelett,Pan-fried pork chop with breading and a creamy sauce.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Pork,"pork chop, flour, breadcrumbs, milk, butter, nutmeg, onion, cream, salt, pepper",fried,omnivore,dinner,"with potatoes, with rice, without sauce","savory, buttery, creamy, mild",pan-frying,20,pork chop
Suess-saure Bohnen DDR Rezept,Sweet and sour green beans with a tangy sauce.,"Eastern Europe, Poland, Czechia",Green Beans,"green beans, vinegar, sugar, tomato paste, onion, carrots, bell pepper, vegetable oil, salt, pepper",boiled,"vegetarian, vegan, omnivore","lunch, dinner","with pineapple, with tofu","sweet, sour, savory, tangy",engulfed in sauce,25,
Suess-saure Eier DDR Rezept,"Sweet and sour egg dish, a popular comfort food.","East Austria, Poland, Czech Republic",Egg,"eggs, vinegar, sugar, flour, water, oil, salt, pepper, onion",Fried,"vegetarian, omnivore","lunch, dinner","different sauces, addition of vegetables","sweet, sour, savory",Fried in batter,20,
"Suesse Kartoffel-Kloesse ""Gfeide Erdaepfel""","Sweet potato dumplings, often served with a savory sauce.","Bavaria, Austria, Switzerland",Sweet Potato,"sweet potato, potato, flour, egg, marjoram, nutmeg, salt, pepper",boiled,"vegetarian, vegan, omnivore",dinner,"with quark, with brown sauce, with vegetable gravy","sweet, earthy, creamy, buttery, savory",boiled,25,
Suesser Kartoffelkuchen,"Sweet potato cake, often served warm.","Bavaria, Austria, Switzerland",Sweet Potato,"sweet potato, flour, sugar, eggs, milk, butter, cinnamon, vanilla",baked,"vegetarian, omnivore",anytime,"with apples, with raisins, with crumble topping","sweet, creamy, buttery, aromatic",baking,45,
Tafelspitz mit Meerrettichsosse,Boiled beef served with horseradish sauce and side dishes.,"Austria, Bavaria, Salzburg",Beef,"beef, water, horseradish, cream, lemon, root vegetables, salt, pepper",boiled,omnivore,"lunch, dinner","with different sauces, with potatoes, with chives","savory, aromatic, tangy, buttery",boiling,45,beef brisket
Teegebaeck,A sweet pastry often served with tea.,"Northern Europe, Austria",Dough,"flour, sugar, butter, eggs, vanilla, lemon zest, baking powder",baked,"vegetarian, omnivore",anytime,"fruit filled, chocolate filled, glazed","sweet, buttery, aromatic",baked,20,
Teerdisch,"Pan-fried fish coated in a dark, slightly sweet sauce.","Baltic Sea region, Poland",Herring,"herring, flour, onion, butter, vinegar, sugar, bay leaf, black pepper, salt",fried,"omnivore, halal, kosher","lunch, dinner","marinated herring, pickled herring","savory, aromatic, tangy, buttery, umami",pan-frying,20,
Texas Chili Hot Dog,A hot dog topped with a spicy chili sauce with Texan influences.,"North Rhine-Westphalia, Bavaria, Austria",Hot Dog,"hot dog, chili sauce, onions, bell peppers, tomatoes, beef, spices, mustard, ketchup",cooked,omnivore,anytime,"with cheese, with coleslaw, vegetarian","spicy, savory, smoky, tangy, umami",grilled,10,beef
Thorner Lebkuchen,Spiced honey cake with a long history.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Dough,"flour, honey, spices, candied fruit, nuts, yeast, milk, butter",baked,"vegetarian, omnivore",anytime,"different spice combinations, glacé fruit, chocolate coating","sweet, aromatic, nutty, spicy",baking,60,
Thueringer Kartoffelkloesse,"Potato dumplings, often served with a rich sauce and meat.","Thuringia, Bavaria, Saxony, Austria",Potato,"potato, flour, egg, onion, marjoram, nutmeg, salt, pepper",boiled,"vegetarian, omnivore","lunch, dinner","with quark, with breadcrumbs, fried","savory, earthy, buttery, mild",boiling,30,
Thueringer Rostbraetel DDR Rezept,Grilled pork sausage with a smoky flavor.,"Thuringia, Bavaria, Saxony, Austria",Pork,"pork, salt, pepper, marjoram, garlic, coriander, nutmeg, thyme, vinegar, dextrose",grilled,"omnivore, halal","lunch, dinner, anytime","smoked, boiled, pan-fried","smoky, savory, aromatic, earthy, tangy",grilling,25,
Thueringer Rostbratwurst mit Kartoffelpueree & Sauerkraut,Grilled sausage served with mashed potatoes and sauerkraut.,"Thuringia, Bavaria, Austria",Rostbratwurst,"pork, potato, sauerkraut, onion, marjoram, paprika, salt, pepper, nutmeg",grilled,omnivore,"lunch, dinner","with mustard, with bread, with beer","savory, smoky, aromatic, mild, buttery",grilling,20,pork belly
Tiramisu auf Hessisch,Coffee-flavored dessert with mascarpone cream and sponge cake soaked in syrup.,"Hesse, Rhineland-Palatinate, North Rhine-Westphalia",Mascarpone,"Mascarpone, eggs, sugar, coffee, cocoa, sponge cake, liqueur",soft,"vegetarian, omnivore",anytime,"fruit additions, different liqueurs, chocolate shavings","sweet, creamy, coffee, aromatic",whisking,20,
Toast Hawaii,"Toasted bread with ham, pineapple, and cheese.","Bavaria, Austria, Switzerland",Bread,"bread, ham, pineapple, cheese, mayonnaise",sliced,"omnivore, vegetarian","breakfast, anytime","different cheeses, different breads","sweet, savory, creamy, buttery, mild",toasting,10,ham
Torjaeger-Hotdogs,Grilled sausage in a bun with various toppings.,"Austria, Bavaria, Switzerland",Sausage,"sausage, buns, mustard, ketchup, relish, onions, sauerkraut, cheese",grilled,omnivore,anytime,"with cheese, with bacon, vegetarian","savory, smoky, buttery, tangy",grilling,8,
Tueften un Plum,Stewed apples with quark cheese,"Bavaria, Austria, Salzburg",Apple,"apples, quark, lemon juice, sugar, cinnamon, raisins",cooked,"vegetarian, omnivore","breakfast, anytime","with breadcrumbs, with vanilla sauce, with other fruits","sweet, fruity, tangy, aromatic, creamy",stewing,25,
Vegane Gruene Sauce mit Quinoa-Gemuese Bratlingen,A vibrant green sauce served with quinoa and vegetable patties.,"Baden-Wurttemberg, Switzerland, France",Quinoa,"herbs, parsley, chives, spinach, vegetable broth, olive oil, quinoa, vegetables, onion, garlic, lemon juice, salt, pepper",cooked,"vegan, vegetarian, anytime","lunch, dinner","different herbs, roasted vegetables, different grains","aromatic, savory, tangy, earthy, creamy, mild",sauce,25,
Vegane Kaesespaetzle,"Soft egg noodles with a creamy vegan cheese sauce, often served with caramelized onions.","Swabia, Bavaria, Austria",Spätzle,"spätzle, vegan cheese, onion, oil, salt, pepper, nutmeg",boiled,"vegetarian, vegan, anytime","lunch, dinner","with mushrooms, with spinach, with roasted vegetables","savory, cheesy, creamy, nutty, aromatic, buttery",fried,20,
Vegane Maultaschen,"Pasta pockets filled with vegetables and herbs, often served in broth or pan-fried.","Baden-Wurttemberg, Swabia, Austria",Pasta,"pasta dough, spinach, mushrooms, onions, carrots, celery, herbs, breadcrumbs, nutmeg, salt, pepper",boiled,"vegetarian, vegan, anytime","lunch, dinner, anytime","with broth, pan-fried, filled with different vegetables","savory, aromatic, earthy, mild",boiling,25,
Vegane Mutzenmandeln,Roasted almonds coated in a sweet and spiced glaze.,"Bavaria, Austria, Switzerland",Almonds,"almonds, sugar, cinnamon, cardamom, vanilla, salt",roasted,"vegetarian, vegan, anytime",anytime,"different spices, chocolate coating","sweet, aromatic, nutty, creamy",roasting,15,
Vegane Rouladen,Savory rolls filled with vegetables and a flavorful sauce.,"Bavaria, Baden-Württemberg, Austria",Eggplant,"eggplant, carrots, celery, onion, mushrooms, mustard, tomato paste, vegetable broth, breadcrumbs, herbs, spices, soy sauce",sliced,"vegetarian, vegan, anytime","lunch, dinner","Mushroom, Beetroot","savory, umami, aromatic, tangy",braised,60,
Vegane Schwarzwaelder Kirschtorte,Layered cake with cherry filling and vegan cherry liqueur cream.,"Baden-Wurttemberg, France, Switzerland",Cherries,"cherries, vegan cream, cocoa powder, flour, sugar, vegan butter, cherry liqueur, vanilla",cooked,"vegetarian, vegan, anytime",anytime,"different fruit fillings, chocolate variations","sweet, fruity, creamy, aromatic",baking,45,
Vegane Zucchinischnitzel auf Salat,Fried zucchini slices served on a bed of salad.,"Austria, Bavaria, Switzerland",Zucchini,"zucchini, flour, breadcrumbs, nutritional yeast, herbs, spices, salad greens, lemon juice, olive oil",sliced,"vegetarian, vegan, anytime","lunch, dinner","with different breading, different sauces, baked","savory, aromatic, buttery, mild",frying,15,
Veganer Frankfurter Kranz,A ring-shaped cake decorated with fruit and nuts.,"Hesse, Rhineland-Palatinate",Cake,"flour, sugar, margarine, plant milk, vanilla, lemon zest, apples, pears, cherries, nuts",baked,"vegetarian, vegan",anytime,"fruit arrangements, nut types, spices","sweet, fruity, nutty, creamy, buttery",baked,15,
Veganer Kartoffelauflauf,Baked potato casserole with vegetables in a creamy sauce.,"Bavaria, Austria, Switzerland",Potato,"potato, onion, carrot, celery, vegetable broth, plant-based milk, nutritional yeast, herbs, spices, oil",sliced,"vegetarian, vegan, anytime","lunch, dinner","with mushrooms, with lentils, with different vegetables","savory, creamy, aromatic, earthy, mild",baked,45,
Veganes Filet Wellington mit Rotkohl,"Puff pastry filled with seitan, duxelles, and red cabbage.","Bavaria, Austria, Switzerland",Seitan,"puff pastry, seitan, mushrooms, red cabbage, shallots, garlic, thyme, red wine, vegetable broth, vegan butter, flour, salt, pepper",sliced,"vegan, vegetarian, anytime",dinner,"with different vegetables, with different sauces","savory, umami, aromatic, buttery",baked,60,
Vegetarische Bratensosse,A rich sauce typically served with roasted vegetables or potatoes.,"Bavaria, Austria, Switzerland",Vegetables,"onions, carrots, celery, vegetable broth, red wine, flour, herbs, spices, oil",cooked,"vegetarian, vegan, kosher, halal, omnivore",dinner,"with mushrooms, with herbs, with nuts","savory, umami, aromatic, earthy",simmered,25,
Vegetarische Kohlroulade,Cabbage leaves rolled around a flavorful filling.,"Bavaria, Rhineland-Palatinate, Austria, Switzerland",Cabbage,"cabbage leaves, rice, mushrooms, carrots, onions, vegetable broth, herbs, spices, tomato sauce",blanched,vegetarian,"lunch, dinner","with lentils, with mushrooms, with tofu","savory, aromatic, earthy, tangy",braised,60,
Vegetarischer Zwiebelkuchen,Savory tart with caramelized onions and a creamy cheese filling.,"Baden-Wurttemberg, Bavaria, Austria, Switzerland",Onion,"onion, flour, eggs, milk, cream, butter, cheese, salt, pepper, nutmeg, marjoram",caramelized,"vegetarian, kosher","lunch, dinner, anytime","with bacon, with potatoes, with herbs","savory, cheesy, buttery, aromatic, earthy",baked,45,
Vegetarischer Zwiebelschmalz,"Melted butter with caramelized onions, typically served with bread.","Bavaria, Austria, Switzerland",Onion,"onion, butter, salt, pepper, herbs",caramelized,"vegetarian, omnivore",anytime,"with garlic, with chives","savory, buttery, aromatic, earthy, mild",frying,15,
Versunkener Apfelkuchen,Baked apple cake with a sunken apple filling.,"Bavaria, Austria, Switzerland",Apple,"apples, flour, sugar, butter, eggs, cinnamon, vanilla, lemon juice, raisins",baked,"vegetarian, kosher",anytime,"with streusel topping, with custard, with almond flakes","sweet, fruity, aromatic, buttery, creamy",baked,45,
Volkswagen-Currywurst,Fried sausage served in a curry ketchup sauce.,"Berlin, Hamburg, North Rhine-Westphalia, Austria",Sausage,"sausage, ketchup, curry powder, onions, vegetable oil",sliced,omnivore,anytime,"with fries, with bread, with cheese","spicy, savory, aromatic",frying,10,pork
Vorgegarte Schweinshaxe im Ofen,Pre-cooked pork knuckle roasted in the oven.,"Bavaria, Austria, Switzerland",Pork Knuckle,"pork knuckle, beer, onion, carrot, celery, bay leaf, marjoram, salt, pepper, paprika",roasted,omnivore,dinner,"braised, beer-braised","savory, smoky, aromatic, buttery",roasting,120,pork knuckle
Warmer Rotkohlsalat mit Granatapfel und Walnuessen,Warm red cabbage salad with pomegranate and walnuts.,"Baden-Wurttemberg, Bavaria, Austria, Switzerland",Red Cabbage,"red cabbage, pomegranate, walnuts, apple cider vinegar, sugar, vegetable oil, onion, salt, pepper","shredded, cooked","vegetarian, vegan, kosher, halal, omnivore","lunch, dinner, anytime","with raisins, with bacon, with balsamic vinegar","sweet, sour, nutty, fruity, savory, tangy",braising,25,
Weckmann,A popular street food snack consisting of a bread roll filled with cheese and meat.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Bread Roll,"bread roll, processed cheese, ham, mustard, pickles",sliced,"omnivore, vegetarian",anytime,"different types of cheese, different types of meat","savory, buttery, tangy, creamy",stuffed,5,
Weckmann mit frischer Hefe,A baked roll filled with a creamy filling.,"Baden-Wurttemberg, Bavaria, Austria",Roll,"roll, fresh yeast, milk, butter, flour, sugar, vanilla, raisins",baked,"vegetarian, omnivore","breakfast, anytime","with poppy seeds, with different fillings","sweet, creamy, buttery, aromatic",baked,10,
